Depth (DAS),interval velocity,interval traveltime,fb,trace#,Depth,P wave first break ms,"P wave first break, s","Vertical travel time, s","Average velocity, m/s","Inverval velocity (11 m interval), m/s",,,,,offset (m)
0,1550,,0,1,0,,,,,,,,,,
1.021,1551,0.000658284977433914,0.000658284977433914,2,1,,,,,,,,,,
2.042,1552,0.000657860824742268,0.00131614580217618,3,2,,,,,,,,,,
3.063,1553,0.000657437218287186,0.00197358302046337,4,3,,,,,,,,,,
4.084,1554,0.000657014157014158,0.00263059717747753,5,4,,,,,,,,,,
5.105,1555,0.000656591639871383,0.00328718881734891,6,5,,,,,,,,,,
6.126,1556,0.000656169665809769,0.00394335848315868,7,6,,,,,,,,,,
7.147,1557,0.000655748233782915,0.00459910671694159,8,7,,,,,,,,,,
8.168,1558,0.000655327342747112,0.0052544340596887,9,8,,,,,,,,,,
9.189,1559,0.000654906991661322,0.00590934105135003,10,9,,,,,,,,,,
10.21,1560,0.000654487179487179,0.00656382823083721,11,10,,,,,,,,,,
11.231,1561,0.000654067905188982,0.00721789613602619,12,11,,,,,,,,,,
12.252,1562,0.000653649167733674,0.00787154530375986,13,12,,,,,,,,,,
13.273,1563,0.000653230966090851,0.00852477626985071,14,13,,,,,,,,,,
14.294,1564,0.000652813299232736,0.00917758956908345,15,14,,,,,,,,,,
15.315,1565,0.000652396166134185,0.00982998573521763,16,15,,,,,,,,,,
16.336,1566,0.00065197956577267,0.0104819653009903,17,16,,,,,,,,,,
17.357,1567,0.000651563497128271,0.0111335287981186,18,17,,,,,,,,,,
18.378,1568,0.000651147959183674,0.0117846767573023,19,18,,,,,,,,,,
19.399,1569,0.000650732950924156,0.0124354097082264,20,19,,,,,,,,,,
20.42,1570,0.000650318471337578,0.013085728179564,21,20,,,,,,,,,,
21.441,1571,0.000649904519414386,0.0137356326989784,22,21,,,,,,,,,,
22.462,1572,0.000649491094147583,0.014385123793126,23,22,,,,,,,,,,
23.483,1573,0.000649078194532741,0.0150342019876587,24,23,,,,,,,,,,
24.504,1574,0.000648665819567978,0.0156828678072267,25,24,,,,,,,,,,
25.525,1575,0.000648253968253969,0.0163311217754806,26,25,,,,,,,,,,
26.546,1576,0.000647842639593909,0.0169789644150745,27,26,,,,,,,,,,
27.567,1577,0.000647431832593533,0.0176263962476681,28,27,,,,,,,,,,
28.588,1578,0.000647021546261091,0.0182734177939292,29,28,,,,,,,,,,
29.609,1579,0.000646611779607345,0.0189200295735365,30,29,,,,,,,,,,
30.63,1580,0.00064620253164557,0.0195662321051821,31,30,,,,,,,,,,
31.651,1581,0.000645793801391523,0.0202120259065736,32,31,,,,,,,,,,
32.672,1582,0.000645385587863465,0.0208574114944371,33,32,,,,,,,,,,
33.693,1583,0.000644977890082123,0.0215023893845192,34,33,,,,,,,,,,
34.714,1584,0.000644570707070708,0.0221469600915899,35,34,,,,,,,,,,
35.735,1585,0.00064416403785489,0.0227911241294448,36,35,,,,,,,,,,
36.756,1586,0.0006437578814628,0.0234348820109076,37,36,,,,,,,,,,
37.777,1587,0.000643352236925016,0.0240782342478326,38,37,,,,,,,,,,
38.798,1588,0.00064294710327456,0.0247211813511072,39,38,,,,,,,,,,
39.819,1589,0.000642542479546885,0.0253637238306541,40,39,,,,,,,,,,
40.84,1590,0.00064213836477987,0.0260058621954339,41,40,,,,,,,,,,
41.861,1591,0.000641734758013828,0.0266475969534478,42,41,,,,,,,,,,
42.882,1592,0.000641331658291458,0.0272889286117392,43,42,,,,,,,,,,
43.903,1593,0.000640929064657879,0.0279298576763971,44,43,,,,,,,,,,
44.924,1594,0.000640526976160603,0.0285703846525577,45,44,,,,,,,,,,
45.945,1595,0.00064012539184953,0.0292105100444072,46,45,,,,,,,,,,
46.966,1596,0.000639724310776943,0.0298502343551842,47,46,,,,,,,,,,
47.987,1597,0.000639323731997496,0.0304895580871817,48,47,,,,,,,,,,
49.008,1598,0.000638923654568211,0.0311284817417499,49,48,,,,,,,,,,
50.029,1599,0.000638524077548464,0.0317670058192983,50,49,,,,,,,,,,
51.05,1600,0.000638125000000001,0.0324051308192983,51,50,,,,,,,,,,
52.071,1601,0.000637726420986884,0.0330428572402852,52,51,,,,,,,,,,
53.092,1602,0.000637328339575531,0.0336801855798608,53,52,,,,,,,,,,
